Unnamed: 0,letter,xbox,ybox,width,height,onpix,xbar,ybar,x2bar,y2bar,xybar,x2ybar,xy2bar,xedge,xedgeycor,yedge,yedgexcor
495,R,4,8,4,5,4,6,8,9,4,7,5,8,2,7,5,11
583,A,4,12,6,8,5,7,4,2,1,8,1,8,2,7,2,7
2100,B,3,7,5,5,7,9,8,4,3,6,7,7,4,11,7,7
422,P,5,10,5,8,4,6,10,6,5,9,8,3,2,10,4,7
781,R,4,11,5,8,3,5,8,9,4,8,6,8,3,8,6,11
795,P,5,8,7,11,12,7,11,5,0,9,7,6,6,10,6,8
209,R,6,9,8,7,8,8,8,6,5,9,7,7,7,8,6,12
780,A,2,4,3,3,0,10,2,2,1,8,2,9,1,6,1,8
358,A,2,8,4,4,1,8,4,3,2,7,2,8,3,6,2,8
1791,B,4,9,7,6,5,8,8,4,7,10,5,5,2,8,6,10
105,A,3,5,4,4,3,8,7,2,4,7,8,8,4,9,3,6
1215,P,6,9,8,7,4,7,10,2,7,14,5,3,3,8,5,8
80,R,1,3,2,2,2,7,7,4,4,7,4,6,2,7,4,8
603,R,8,13,7,8,5,7,7,5,5,9,4,9,7,4,7,11
430,B,5,9,7,7,6,8,8,4,7,10,5,6,2,8,6,10
238,R,2,0,2,1,1,6,10,7,2,8,5,8,2,7,4,10
1542,A,6,11,6,6,4,12,3,5,2,11,3,10,6,4,4,10
207,P,8,10,7,5,3,8,10,5,3,12,4,4,4,9,4,8
1717,P,4,9,5,5,3,3,13,8,1,10,6,3,1,10,4,8
926,A,4,9,6,7,4,12,2,4,4,10,2,9,2,7,3,8
382,B,3,2,4,3,3,8,7,5,6,8,7,5,5,8,5,10
678,A,2,8,4,6,2,9,4,3,2,7,1,8,3,7,2,8
893,P,9,11,7,6,3,8,9,6,4,12,2,5,4,10,4,8
1055,B,6,10,8,8,9,8,7,6,6,7,6,6,2,7,6,10
2099,B,3,5,5,3,3,10,7,3,6,10,5,6,2,9,6,10
754,B,3,6,4,4,4,6,8,5,4,6,5,7,3,8,5,7
278,P,6,11,8,8,5,5,11,7,4,11,7,2,1,10,4,6
455,P,3,9,3,5,3,4,11,8,3,9,6,3,1,10,4,8
1828,A,3,10,5,7,2,6,6,3,1,6,0,8,1,6,1,7
1185,A,2,4,4,3,1,11,2,3,1,9,2,10,2,6,2,9
2077,R,3,6,5,4,5,7,7,4,4,7,6,8,6,9,6,6
1247,B,5,11,7,8,8,7,8,8,6,7,5,5,4,6,10,12
1334,P,4,6,5,7,6,9,7,4,3,6,6,8,6,12,5,4
1683,P,4,9,6,6,4,7,11,7,3,11,5,3,2,10,4,8
